ein,org_name,city,state_code,dei_last_modified,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,total_revenue
75-2488486,Camp Summit Inc,Dallas,TX,2022-03-10 13:56:05,White/Caucasian/European,Female,,Decline to state,Decline to state,,,,,,11.0,1.0,1.0,,,1.0,,8.0,,,,,4.0,7.0,,,,,,,11.0,,,,,,,,11.0,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,5.0,,,,5.0,,,,5.0,16.0,,,2.0,,,,14.0,,,,,12.0,4.0,,,,,,,16.0,,,,16.0,1.0,0.0,15.0,,2017092.0
75-2665054,Johnson County Childrens Advocacy Center,HUNTSVILLE,TX,2022-05-12 00:00:00,,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,29.0,,,1.0,,,,25.0,3.0,,,,21.0,8.0,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,1.0,1.0,,,,,2.0,,,,2.0,,,,2.0,,,16.0,,,3.0,,,,12.0,1.0,,,,14.0,2.0,,,,,,,,,,,,,16.0,,,2581048.0
75-2736992,Newday Services for Children & Families,Fort Worth,TX,2021-08-30 15:45:18,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,9.0,1.0,0.0,0.0,,0.0,,8.0,0.0,0.0,0.0,0.0,3.0,6.0,,,,,9.0,,,,9.0,,,,9.0,,,7.0,,,1.0,,,,6.0,,,,,2.0,5.0,,,,,7.0,,,,7.0,,,,7.0,,,16.0,1.0,4.0,1.0,,0.0,,10.0,,,,,8.0,8.0,,,,,16.0,,,,16.0,,,,16.0,,,1348573.0
75-2872010,Center for Survivors of Torture,Dallas,TX,2023-03-11 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,9.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,7.0,2.0,,,,,,,9.0,,,,,2.0,7.0,,,3.0,,,1.0,,,,2.0,,,,,2.0,,1.0,,,,3.0,,,,3.0,,,1.0,2.0,,,16.0,1.0,1.0,2.0,3.0,,,5.0,2.0,1.0,1.0,,11.0,4.0,1.0,,,,15.0,,1.0,3.0,12.0,1.0,,3.0,13.0,,,1133227.0
75-3129705,Fresno Area Hispanic Foundation,Fresno,CA,2023-07-06 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,,,14.0,,,,,,,,,5.0,9.0,,,,,14.0,,,,14.0,,,,14.0,,,5.0,,,5.0,,,,,,,,,4.0,1.0,,,,,5.0,,,,5.0,,,,5.0,,,16.0,1.0,,15.0,,,,,,,,,11.0,5.0,,,,,16.0,,,,14.0,2.0,,,16.0,,,3036876.0
76-0838983,Dallas Afterschool,Dallas,TX,2023-03-08 00:00:00,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15.0,,5.0,2.0,,,,8.0,,,,,10.0,5.0,,,,,,,,,,,,,,,,5.0,,2.0,2.0,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,16.0,,6.0,3.0,,,,6.0,1.0,,,,14.0,2.0,,,,,,,,,,,,,,,,2167930.0
77-0024688,Bakersfield Crisis Pregnancy Center Inc,Bakersfield,CA,2023-01-17 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,6.0,,2.0,2.0,,,,2.0,,,,,2.0,4.0,,,,,0.0,6.0,,,,6.0,,,6.0,,,4.0,,,,,,,4.0,,,,,4.0,,,,,,4.0,,,,4.0,,,,4.0,,,16.0,,,3.0,,,,13.0,,,,,15.0,1.0,,,,,16.0,,,,16.0,,,,16.0,,,904465.0
77-0071036,Future Leaders of America,Oxnard,CA,2021-01-19 09:05:25,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,13.0,,,13.0,,,,,,,,,8.0,5.0,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,16.0,1.0,,15.0,,,,,,,,,10.0,6.0,,,,,,,,,,,,,,,,2809963.0
77-0151434,Hope Horizon East Palo Alto,East Palo Alto,CA,2023-05-24 00:00:00,Asian/Asian American,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,8.0,1.0,1.0,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,,,,1.0,,,,,4.0,,,,,,4.0,,,,4.0,,,,4.0,,,16.0,6.0,2.0,6.0,,0.0,,2.0,,,,,13.0,3.0,,,,,16.0,,,,16.0,,,,16.0,,,1606400.0
77-0719656,Covenant With Christ International Inc,Cleveland,TX,2021-05-05 12:00:27,White/Caucasian/European,Female,,,,,,,,,4.0,,,,,,,4.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,16.0,,8.0,,,,,8.0,,,,,10.0,6.0,,,,,,,,,,,,,,,,1698832.0
81-2667531,Able - Artists Breaking Limits & Expectations,Chicago,IL,2022-12-19 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person with a disability,,,,,,6.0,,,,,,,4.0,,,2.0,,4.0,2.0,,,,,6.0,,,1.0,5.0,,,2.0,3.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,16.0,,,,,,,16.0,,,,,9.0,5.0,2.0,,,,16.0,,,7.0,4.0,5.0,,7.0,7.0,2.0,,206569.0
81-2889340,Liberation Veteran Services Inc,Richmond,VA,2023-03-13 00:00:00,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,7.0,,4.0,,,,,3.0,,,,,1.0,6.0,,,,,7.0,,,,7.0,,,,,,,2.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,16.0,,10.0,2.0,,,,4.0,,,,,5.0,11.0,,,,,16.0,,,,16.0,,,,,,,1191376.0
81-3283869,Northeast Energy Efficiency Partnerships Inc,WOBURN,MA,2023-02-09 00:00:00,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,,,,,,14.0,,2.0,,,,,10.0,,,,2.0,6.0,6.0,,,2.0,,10.0,1.0,3.0,,12.0,,2.0,2.0,10.0,,2.0,4.0,,,,,,,4.0,,,,,3.0,1.0,,,,,4.0,,,2.0,2.0,,,,4.0,,,16.0,3.0,1.0,,,,,11.0,,,1.0,,10.0,5.0,,1.0,,,11.0,4.0,1.0,3.0,12.0,1.0,,4.0,9.0,1.0,2.0,4251266.0
81-4227664,A Shared Vision Partners in Pediatric Blindness and Visual Imp,Broomfield,CO,2021-02-17 09:57:46,White/Caucasian/European,Male,Decline to state,Decline to state,Person without a disability,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,5.0,,,,5.0,,,,5.0,,3.0,,,,,,,3.0,,,,,2.0,1.0,,,,,,3.0,,,,3.0,,,3.0,,,16.0,,,,,,,16.0,,,,,16.0,,,,,,,16.0,,,,16.0,,,16.0,,,295520.0
81-4436479,Underpriviledged Children Foundation Inc,Charleston,WV,2021-12-06 15:29:48,White/Caucasian/European,Male,,Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,,Heterosexual or Straight,Person without a disability,5.0,,,,,,,5.0,,,,,2.0,3.0,,,,0.0,5.0,,,,5.0,,,0.0,5.0,,,2.0,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,2.0,,,,2.0,,,16.0,,,,,,,12.0,2.0,,,2.0,10.0,6.0,,,,,,,16.0,,,,16.0,,,,16.0,1111860.0
81-5304541,California Immigrant Policy Center,Los Angeles,CA,2022-08-30 00:00:00,Asian/Asian American,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,11.0,4.0,1.0,5.0,,0.0,,1.0,0.0,,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,,,,,6.0,4.0,,1.0,,,,1.0,,,,,5.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0,,,,,16.0,5.0,1.0,7.0,,0.0,,3.0,0.0,,0.0,0.0,8.0,5.0,3.0,0.0,0.0,3.0,13.0,0.0,0.0,3.0,13.0,0.0,0.0,,,,,5275117.0
81-6014902,Yellowstone Art Museum,Billings,MT,2022-11-22 10:33:14,,Female,,,,,,,,,23.0,0.0,0.0,0.0,,1.0,,19.0,1.0,,,2.0,13.0,10.0,,,,,,,,,,,,,,,,6.0,,,,,,,5.0,,,1.0,,2.0,3.0,,1.0,,,,,,2.0,3.0,1.0,,3.0,2.0,1.0,,16.0,1.0,0.0,1.0,,,,11.0,1.0,,2.0,,9.0,6.0,,1.0,,,,,,3.0,10.0,3.0,,5.0,7.0,4.0,,2174760.0
82-1946648,CREATED GAINESVILLE INC,Gainesville,FL,2022-10-04 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,3.0,,,,,,3.0,,,,3.0,,,,3.0,,,16.0,,2.0,,,,,5.0,,,,9.0,15.0,1.0,,,,,7.0,,9.0,,7.0,,9.0,1.0,6.0,,9.0,606967.0
82-1971330,Alliance of Families for Justice,NEW YORK,NY,2021-06-09 15:05:34,Black/African American,Female,Not transgender (cisgender),Decline to state,Person without a disability,,,,,,9.0,,8.0,,,,,1.0,,,,,4.0,5.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,2.0,,,,,,2.0,,,,,,,,2.0,,,16.0,,12.0,1.0,,,,2.0,1.0,,,,10.0,6.0,,,,,,,,,,,,,,,,2134929.0
82-4727381,Education Matters Africa Foundation,North Haven,CT,2023-01-30 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,,6.0,,,,,4.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,6.0,,5.0,,,,,1.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,16.0,,13.0,,,,,2.0,1.0,,,,11.0,5.0,,,,,,,,,,,,,,,,574637.0
82-5300482,DUMAS EDUCATION & SOCIAL MINISTRIES INC,DUMAS,TX,2020-06-11 08:53:20,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,8.0,,,4.0,,,,4.0,,,,,7.0,1.0,,,,,,,,,,,,,,,,4.0,,,2.0,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,16.0,,,10.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,583488.0
83-1431925,Imago Dei Neighborhood School,Richmond,VA,2023-03-07 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,5.0,,2.0,,,,,3.0,,,,,3.0,2.0,,,,,5.0,,,,5.0,,,,,,,3.0,,2.0,,,,,1.0,,,,,3.0,,,,,,3.0,,,,3.0,,,,,,,16.0,,6.0,1.0,,,,8.0,,1.0,,,15.0,1.0,,,,,16.0,,,,16.0,,,,,,,619978.0
83-2653099,Seattle Veterinary Outreach,LK FOREST PK,WA,2023-08-03 13:22:47,,,,,,,,,,,8.0,,1.0,,,1.0,,6.0,,,,,,,,,,,,,,1.0,7.0,,,,,,,6.0,,,,,,,5.0,1.0,,,,5.0,1.0,,,,0.0,6.0,,,2.0,4.0,,,,6.0,,,16.0,1.0,,,,,,14.0,1.0,,,,14.0,2.0,,,,,16.0,,,2.0,14.0,,,,16.0,,,457088.0
83-3592629,LA Cocina,Fort Collins,CO,2023-02-13 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Decline to state,Decline to state,Decline to state,,,,,,6.0,,1.0,2.0,,,,2.0,1.0,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,5.0,,1.0,3.0,,,,1.0,,,,,4.0,,1.0,,,,,,,1.0,4.0,,,,,,,16.0,,1.0,11.0,,,,3.0,1.0,,,,12.0,3.0,1.0,,,1.0,15.0,,,,,,,,,,,1889837.0
84-0511799,Pikes Peak United Way,Colorado Springs,CO,2022-03-08 16:21:59,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,15.0,,3.0,,,,,4.0,,,8.0,,8.0,2.0,,5.0,,,3.0,12.0,,,5.0,10.0,,,5.0,10.0,,11.0,,2.0,,,,,8.0,1.0,,,,10.0,1.0,,,,,8.0,3.0,,1.0,10.0,,,1.0,10.0,,,16.0,2.0,3.0,5.0,,,,4.0,,,2.0,,9.0,5.0,,2.0,,1.0,12.0,3.0,,2.0,11.0,3.0,,,12.0,4.0,,4730536.0
84-1462044,Trees Water and People,Fort Collins,CO,2023-08-29 00:00:00,Hispanic/Latino/Latina/Latinx,Male,,,,,,,,,10.0,1.0,,0.0,,2.0,,6.0,1.0,,,,4.0,6.0,,,,,,,,,,,,,,,,5.0,,,2.0,,1.0,,2.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,16.0,,1.0,7.0,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,2235395.0
84-1956561,Vets Veterans Exploring Treatment Solutions Inc,Southlake,TX,2022-08-04 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Decline to state,4.0,,,,,,,,,,4.0,0.0,1.0,3.0,,,,,4.0,,,,,4.0,,,,4.0,,2.0,,,,,,,2.0,,,,,1.0,1.0,,,,,2.0,,,,2.0,,,,1.0,1.0,,16.0,1.0,0.0,2.0,,0.0,,8.0,,,5.0,,,,,,,,,,,,,,,,,,,5209192.0
84-2130536,Solidaire Network Inc,OAKLAND,CA,2021-11-15 11:50:55,Asian/Asian American,Female,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,11.0,1.0,3.0,2.0,,0.0,,5.0,0.0,,0.0,,8.0,3.0,,,,,11.0,,,1.0,9.0,1.0,,1.0,10.0,,,4.0,2.0,1.0,,,,,,1.0,,,,1.0,1.0,2.0,,,1.0,3.0,,,2.0,2.0,,,3.0,1.0,,,16.0,4.0,4.0,2.0,,0.0,,4.0,2.0,,,,10.0,2.0,3.0,1.0,,2.0,14.0,,,6.0,6.0,4.0,,4.0,11.0,1.0,,7898596.0
85-0242274,Solace Sexual Assault Services,Santa Fe,NM,2023-04-25 16:25:32,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,8.0,1.0,1.0,,,,,6.0,,,,,6.0,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,3.0,1.0,,,,,4.0,,,1.0,3.0,,,1.0,3.0,,,16.0,,2.0,10.0,,,,4.0,,,,,15.0,1.0,,,,,16.0,,,2.0,14.0,,,,16.0,,,1698110.0
85-0283204,Ronald McDonald House Charities of New Mexico,Albuquerque,NM,2022-04-19 08:41:28,White/Caucasian/European,Female,,,,,,,,,16.0,,,3.0,,1.0,,10.0,,2.0,,,8.0,8.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,16.0,1.0,,5.0,,1.0,,7.0,,2.0,,,14.0,2.0,,,,,,,,,,,,,,,,2012813.0
85-0364261,Center for National Independence in Politics,DES MOINES,IA,2023-01-19 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,Hispanic/Latino/Latina/Latinx,Female,,Heterosexual or Straight,,30.0,,3.0,,,,,10.0,,,17.0,,12.0,18.0,,,,,,,,,,,,,,,,6.0,,1.0,1.0,,,,4.0,,,,,1.0,5.0,,,,1.0,5.0,,,,,,,,,6.0,,16.0,,1.0,1.0,,,,4.0,,,,10.0,5.0,11.0,,,,1.0,13.0,,2.0,,,,,,,,16.0,1391939.0
86-0098937,YWCA of Southern Arizona,Tucson,AZ,2022-10-27 00:00:00,Hispanic/Latino/Latina/Latinx,Female,Not transgender (cisgender),Heterosexual or Straight,,,,,,,10.0,1.0,1.0,3.0,,,,3.0,2.0,,,,10.0,,,,,,10.0,,,2.0,8.0,,,,,,10.0,5.0,,,3.0,,1.0,,1.0,,,,,3.0,1.0,1.0,,,,5.0,,,2.0,3.0,,,,,,5.0,16.0,1.0,1.0,7.0,,1.0,,,6.0,,,,12.0,2.0,2.0,,,,16.0,,,3.0,7.0,,6.0,4.0,,,12.0,924568.0
86-1068374,Shelby County Players Inc,Shelbyville,IN,2020-06-08 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,12.0,,1.0,,,,,10.0,1.0,,,,6.0,6.0,,,,,,,,,,,,,,,,6.0,,1.0,,,,,5.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,16.0,,1.0,1.0,,,,13.0,1.0,,,,11.0,5.0,,,,,,,,,,,,,,,,488983.0
90-0108854,National Foundation for Celiac Awareness,Ambler,PA,2023-08-07 00:00:00,White/Caucasian/European,Female,,Heterosexual or Straight,Person without a disability,,,,,,17.0,1.0,,,,,,16.0,,,,,9.0,8.0,,,,,,,,,17.0,,,,,,,3.0,,,,,,,3.0,,,,,2.0,1.0,,,,,,3.0,,,3.0,,,,,3.0,,16.0,,,,,,,16.0,,,,,14.0,2.0,,,,,,,,,,,,,,,,2656405.0
91-1178405,Support Advocacy and Resource Center,Richland,WA,2020-12-11 11:01:16,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,13.0,,2.0,1.0,,,,9.0,1.0,,,,7.0,6.0,,,,,,,,,13.0,,,,13.0,,,4.0,,,1.0,,,,3.0,,,,,4.0,,,,,,4.0,,,,4.0,,,1.0,3.0,,,16.0,,,7.0,,1.0,,8.0,,,,,16.0,,,,,,16.0,,,1.0,15.0,,,3.0,13.0,,,1844758.0
91-1471384,Eastside Legal Assistance Program,Bellevue,WA,2022-08-04 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15.0,2.0,0.0,2.0,,0.0,,10.0,1.0,,,,13.0,2.0,,,,,15.0,,,1.0,14.0,,,,,,,5.0,1.0,0.0,,,,,3.0,1.0,,,,3.0,1.0,1.0,,,1.0,4.0,,,,,,,,,,,16.0,3.0,1.0,2.0,,1.0,,8.0,1.0,,,,12.0,2.0,2.0,,,2.0,14.0,,,4.0,12.0,,,,,,,1679319.0
91-1878632,Christies Place Inc,San Diego,CA,2022-04-26 11:26:53,Asian/Asian American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,10.0,1.0,2.0,1.0,,,,6.0,,,,,8.0,1.0,1.0,,,1.0,9.0,,,,,,,,,,,5.0,1.0,,4.0,,,,,,,,,4.0,1.0,,,,,5.0,,,2.0,3.0,,,,,,,16.0,1.0,1.0,14.0,,,,,,,,,12.0,3.0,1.0,,,1.0,15.0,,,4.0,12.0,,,5.0,11.0,,,1624786.0
91-2021165,Pcc Farmland Trust,Seattle,WA,2022-01-20 10:14:59,White/Caucasian/European,Female,Not transgender (cisgender),,,,,,,,16.0,,,,,,,,,,,,11.0,5.0,,,,,16.0,,,,,,,,,,,6.0,,,,,,,6.0,,,,,5.0,1.0,,,,,6.0,,,,,,,,,,,16.0,,,,,,,,,,,,13.0,3.0,,,,,16.0,,,,,,,,,,,2998617.0
91-2072298,Non-Profit Technology Enterprise Network,PORTLAND,OR,2023-05-11 00:00:00,White/Caucasian/European,Non-binary,Decline to state,"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person with a disability,,,,,,15.0,4.0,4.0,3.0,1.0,,,1.0,,,2.0,,6.0,5.0,2.0,2.0,,2.0,11.0,2.0,,5.0,3.0,7.0,,2.0,10.0,3.0,,8.0,,,2.0,,1.0,,4.0,1.0,,,,1.0,6.0,1.0,,,1.0,7.0,,,4.0,4.0,,,3.0,3.0,2.0,,16.0,1.0,1.0,2.0,,1.0,,9.0,1.0,,1.0,,6.0,7.0,3.0,,,2.0,12.0,2.0,,7.0,9.0,,,4.0,12.0,,,2587866.0
91-2160616,Miracles for Kids Inc,Irvine,CA,2022-03-10 13:40:52,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,19.0,,2.0,2.0,,1.0,,10.0,1.0,2.0,1.0,,2.0,17.0,,,,,19.0,,,,19.0,,,,19.0,,,1.0,,,0.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,16.0,3.0,,9.0,,,,3.0,1.0,,,,15.0,1.0,,,,,16.0,,,,16.0,,,,16.0,,,4776316.0
93-0718337,Oregon Zoo Foundation,Portland,OR,2023-03-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,3.0,,,,,4.0,,,,,,,,,,4.0,,,2.0,2.0,,,16.0,,,1.0,,,,14.0,1.0,,,,16.0,,,,,,,,16.0,9.0,6.0,,1.0,5.0,6.0,3.0,2.0,10046812.0
93-1069203,Evergreen Aviation and Space Museum and the Captain Michael King Smith,Mcminnville,OR,2023-07-24 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,13.0,2.0,,,,,,11.0,,,,,2.0,11.0,,,,,13.0,,,,,,13.0,,,,,7.0,1.0,,0.0,,,,6.0,,,0.0,,3.0,4.0,,,,,7.0,,,1.0,6.0,,,1.0,6.0,,,16.0,,,2.0,,,,14.0,,,,,9.0,7.0,,,,,16.0,,,3.0,13.0,,,,16.0,,,4749913.0
93-1148608,Child Foundation,Portland,OR,2022-10-31 00:00:00,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Male,Not transgender (cisgender),Decline to state,Person without a disability,,,,,,7.0,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,9.0,7.0,,,,,,,,,,,,,,,,4763775.0
93-1159778,Douglas County Childrens Center Inc,Roseburg,OR,2023-08-09 00:00:00,White/Caucasian/European,Female,,,,,,,,,8.0,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,16.0,,,1.0,,1.0,,14.0,,,,,15.0,1.0,,,,,,,,,,,,,,,,1411364.0
93-1276816,Volunteers in Medicine Clinic,Springfield,OR,2022-10-04 00:00:00,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,,2.0,2.0,,,,4.0,2.0,,,6.0,7.0,9.0,,,,,,,,,,,,,,,,3.0,,1.0,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,16.0,,1.0,2.0,,,,,,,,13.0,15.0,1.0,,,,,,,,,,,,,,,,1271037.0
94-1225368,Carmel Foundation,Carmel By The Sea,CA,2020-12-14 10:22:35,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,,,,,,,,,,,,8.0,8.0,0.0,0.0,0.0,,,,,,,,,1.0,15.0,,,5.0,,,1.0,,,,4.0,,,,,5.0,,,,,,,,,,,,,,,,,16.0,,,4.0,,,,12.0,,,,,14.0,2.0,,,,,,,,,,,,,,,,2102002.0
94-1686314,Greater Sacramento Urban League,Sacramento,CA,2021-05-20 16:31:48,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,17.0,,9.0,2.0,,,,4.0,,2.0,,,7.0,10.0,,,,,17.0,,,,17.0,,,,17.0,,,4.0,,3.0,1.0,,,,,,,,,2.0,2.0,,,,,4.0,,,,4.0,,,,,,4.0,16.0,,13.0,3.0,,,,,,,,,9.0,7.0,,,,,,,,,,,,,,,16.0,2754454.0
94-2250551,The Arc-Solano,Vallejo,CA,2023-02-22 00:00:00,Multi-Racial/Multi-Ethnic (2+ races/ethnicities),Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,5.0,2.0,,,1.0,,,,,1.0,,,,2.0,,,,,,1.0,,1.0,,2.0,,,,2.0,,,16.0,,,,,,,,,,,16.0,,,,,16.0,,,,16.0,,,,16.0,,,,16.0,1153748.0
94-3000301,Hydrocephalus Assn,Bethesda,MD,2021-05-28 12:01:20,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Person without a disability,,,,,,20.0,,2.0,1.0,,,,17.0,,,,,10.0,10.0,,,,,20.0,,,1.0,19.0,,,,,20.0,,6.0,,,1.0,,1.0,,4.0,,,,,5.0,1.0,,,,,,,,,6.0,,,1.0,5.0,,,16.0,,2.0,3.0,,1.0,,10.0,,,,,15.0,1.0,,,,,16.0,,,,16.0,,,3.0,13.0,,,4148543.0
94-3122524,Night Ministry,San Francisco,CA,2022-07-25 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,9.0,,1.0,,,,,8.0,,,,,5.0,4.0,,,,,9.0,,,1.0,8.0,,,1.0,8.0,,,6.0,,1.0,1.0,,,,4.0,,,,,3.0,3.0,,,,,6.0,,,2.0,4.0,,,2.0,4.0,,,16.0,1.0,1.0,,,,,13.0,,1.0,,,3.0,10.0,3.0,,,1.0,15.0,,,6.0,10.0,,,0.0,16.0,,,401099.0
